RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
68,38730966,Lucciano,729,China,Female,54,2,203395.93,4,1,0,61894.96,0
69,18502236,Chin,431,France,Male,43,2,145438.73,4,1,0,57418.78,0
70,25950936,Romeo,310,USA,Male,41,4,119078.29,1,0,0,203756.64,1
71,19474212,Lorenzo,346,Spain,Female,56,3,140645.93,3,1,0,73176.69,0
72,59097002,Boni,778,China,Female,77,0,135059.98,1,0,1,66026.7,0
73,62953261,McDonald,343,France,Female,88,5,214844.27,1,1,1,30313.86,1
74,20246765,Maggard,699,Spain,Male,33,8,139799.82,4,0,1,153926.88,0
75,74034199,McWilliams,627,Germany,Female,34,6,195314.31,4,0,0,109327.67,0
76,52544211,Thomas,517,Austrelia,Male,59,2,55296.82,2,0,1,182687.07,0
77,45140466,Williams,462,Germany,Female,78,1,199581.15,4,1,0,110677.62,1
78,60073414,Johnson,554,France,Male,90,7,149242.75,3,1,0,40349.54,1
79,45430698,Odinakachukwu,378,America,Male,18,1,204545.3,1,0,0,24630.46,0
80,23490790,Garcia,313,Austrelia,Male,76,2,62560.02,1,1,0,180088.96,0
81,20418646,Lavine,436,Spain,Female,38,5,71270.94,2,0,1,231900.1,0
82,94643698,Scott,344,France,Male,64,4,130412.19,3,0,0,164193.04,1
83,95356700,Clarke,794,USA,Male,65,7,234218.58,1,1,1,55351.59,0
84,22942741,He,484,Spain,Female,65,0,205968.5,1,0,1,144813.82,1
85,80024820,Lucciano,832,America,Male,39,7,24995.48,4,0,1,138402.11,0
86,78886816,Gonzalez,741,Germany,Male,43,2,63170.21,2,0,0,119393.05,0
87,19663706,Rodriguez,488,Spain,Female,27,2,183405.45,4,1,1,137855.7,1
88,78630131,Mitchell,586,Spain,Female,62,4,164842.36,4,1,0,64936.19,1
89,17193985,Moore,619,Germany,Male,46,6,79054.73,3,1,0,235203.2,0
90,58868473,Hargrave,721,China,Male,26,3,72567.67,4,0,0,126169.63,1
91,56328334,Nehi,406,USA,Female,65,2,184583.58,1,0,1,200807.55,1
92,30903977,Bianchi,847,USA,Male,55,5,73750.13,2,0,1,47221.29,0
93,69860065,Hernandez,802,China,Female,69,4,138629.17,3,1,0,106031.4,0
94,56727121,Davis,623,USA,Female,65,9,47760.54,2,0,0,125835.62,0
95,67330020,Williams,366,Austrelia,Female,59,9,53955.65,1,0,1,180603.17,0
96,88527943,Chin,635,Spain,Female,81,9,95369.83,1,0,0,75753.8,0
97,52118912,Thomas,623,USA,Female,19,2,213787.38,3,1,0,153757.84,0
98,73938889,Odinakachukwu,693,USA,Female,71,1,48875.07,2,1,1,30137.79,0
99,91364512,Armstrong,323,China,Male,42,0,185004.33,2,0,0,119579.08,1
100,80549893,Boni,758,Austrelia,Female,74,5,196808.15,4,1,0,93182.75,0
101,70990123,Dellucci,735,Germany,Male,50,0,9691.63,4,0,0,84101.11,1
102,29686014,Jones,629,India,Female,73,7,185169.61,1,0,1,242399.81,0
103,37317064,Rodriguez,837,America,Female,39,9,219139.63,4,1,1,96122.51,1
104,62688117,Dellucci,729,USA,Female,54,6,96803.58,3,1,1,194159.27,1
105,50243523,Andrews,502,China,Male,76,7,231497.78,4,1,0,169097.11,0
106,58524255,Jackson,604,France,Male,28,9,138737.5,2,0,1,204755.97,1
107,52795796,Chu,360,Austrelia,Male,80,9,227426.16,1,1,0,159013.65,1
108,78281290,Muldrow,721,China,Male,51,10,69085.91,1,1,1,121547.84,1
109,74168543,Yen,801,Spain,Male,35,4,197065.55,3,1,0,49127.44,0
110,62198369,Miller,731,Spain,Female,41,5,43204.62,3,0,0,144687.29,1
111,31009937,Young,841,France,Male,77,9,20478.2,3,1,0,190339.12,0
112,18072642,Muldrow,524,France,Female,81,1,43411.35,2,0,0,211639.39,0
113,47044084,Chin,693,France,Female,60,8,169803.85,2,1,1,159660.21,0
114,25451348,Chu,300,India,Male,18,8,192934.77,4,1,0,116468.51,1
115,40421633,Dellucci,491,China,Female,88,6,173566.49,3,1,1,175305.16,1
116,60874580,Odinakachukwu,593,USA,Female,43,8,171161.02,1,1,1,147863.87,0
117,40268753,Watson,681,France,Female,88,6,50153.42,4,0,0,115638.77,1
118,56122623,Maggard,487,France,Male,67,10,167828.31,2,1,1,24821.4,1
119,69988497,Chin,575,Austrelia,Male,87,3,15945.55,3,0,1,48932.58,0
120,51040565,Bearce,410,India,Female,30,4,224395.29,1,1,0,36436.56,1
121,18804354,Scott,457,France,Female,29,6,181264.5,3,0,1,184777.55,0
122,37323365,Clarke,516,Germany,Female,87,5,208887.91,1,0,1,195673.13,1
123,99523757,Cameron,676,USA,Male,42,5,76121.41,2,1,0,44677.09,0
124,48861331,Garcia,697,Austrelia,Female,31,1,142032.67,3,1,0,48504.91,1
125,18817278,Maclean,478,Germany,Female,27,0,169217.31,2,1,0,123203.36,1
126,58508768,Obinna,395,USA,Male,58,2,9540.29,4,0,1,134631.53,0
127,68246357,Clarke,395,Germany,Female,20,6,226952.29,4,1,1,54010.75,1
128,46862092,Maggard,445,China,Male,70,4,20954.38,2,1,1,191821.73,0
129,87099667,Scott,717,Austrelia,Male,82,0,239480.88,3,1,0,117275.75,1
130,86541721,Lombardo,720,Austrelia,Female,22,3,180357.56,4,1,1,138962.66,1
131,90268701,Lorenzo,600,India,Female,28,1,220411.21,1,0,1,203515.26,1
132,77686038,McDonald,636,USA,Male,72,1,77333.48,3,0,0,138469.97,0
133,73893769,Lorenzo,337,Germany,Male,81,9,144594.17,4,0,0,234870.57,0
134,75886408,Kay,578,Germany,Female,88,4,197844.82,3,0,1,55194.14,0
135,61649489,Mosman,609,India,Male,66,4,144296.25,2,0,1,94994.28,0
136,71335849,Rodriguez,746,USA,Female,81,2,224006.08,3,0,0,71306.29,0
137,62113549,Thomas,792,Spain,Male,85,7,113004.65,3,0,0,82897.93,0
138,24448874,Onio,350,India,Male,81,8,174146.08,4,0,0,231389.29,0
139,32765508,Chin,791,USA,Male,25,1,18205.23,3,1,1,15548.31,1
140,86257023,Bartlett,530,America,Male,58,6,31357.72,4,0,0,209971.37,1
141,86728542,Osborne,437,China,Female,76,8,248921.24,2,0,0,177015.71,0
142,90615973,Azikiwe,647,India,Male,36,9,39727.45,1,0,1,151622.08,0
143,97822741,Lucciano,688,Spain,Female,49,1,199083.28,1,0,0,117971.75,1
144,47727613,Young,408,India,Female,47,5,240728.85,3,1,0,151633.3,0
145,88140544,He,633,Austrelia,Male,22,7,63231.96,1,0,1,28803.39,0
146,25886258,Andrews,834,China,Male,23,5,99079.58,1,1,1,5909.75,0
147,93575448,Moore,619,Spain,Female,35,8,51818.75,2,1,1,172754.47,0
148,90310527,Lavine,721,America,Female,41,6,224562.96,1,0,0,68332.97,1
149,64633719,Hargrave,766,China,Male,31,3,200282.81,3,1,1,132459.78,1
150,56601607,Jackson,584,India,Male,68,7,121751.69,2,1,1,160147.83,1
151,61566200,McDonald,689,India,Female,43,4,95655.42,1,0,0,198208.68,0
152,31724494,Hargrave,795,India,Male,73,4,249141.7,4,1,1,123518.52,1
153,87988662,Bianchi,729,USA,Female,81,9,211959.02,3,0,0,105126.92,1
154,70726674,Hsiao,574,France,Male,18,1,150415.77,2,1,1,134947.45,1
155,59592190,He,446,China,Female,60,2,197637.53,1,1,0,15364.29,1
156,97682900,Johnson,507,USA,Male,18,3,72830.09,4,1,0,234773.48,0
157,73222995,McWilliams,379,China,Female,73,10,90976.84,1,0,1,194130.28,1
158,72907137,Young,691,India,Female,59,9,114783.37,1,0,0,190209.32,1
159,37651945,Young,345,France,Male,82,1,196273.71,2,0,0,158087.19,1
160,58609903,Watson,849,China,Male,23,3,154070.33,1,0,1,59903.04,0
161,52453729,Goforth,793,Germany,Female,81,0,111788.84,4,1,1,245146.95,0
162,50432089,Bianchi,508,America,Male,66,7,82656.54,2,0,0,45583.01,1
163,18124123,Taylor,847,India,Female,65,8,196102.11,1,1,1,86540,1
164,61699453,Mosman,809,India,Male,24,9,57335.02,2,0,1,33008.46,1
165,52352000,Watson,720,USA,Male,55,1,105096.76,4,1,1,157913.23,1
166,76958854,Taylor,442,Austrelia,Female,41,8,242676.27,4,0,0,41272.45,1
167,54128728,Davis,546,Spain,Female,49,5,40753.84,1,0,0,118644.34,1
168,83866031,Maclean,766,Spain,Male,26,10,84235.18,2,1,0,156572.7,0
169,29089385,Dellucci,688,Germany,Female,72,2,159895.54,4,1,0,148738.05,0
170,44732373,Martin,618,India,Male,42,10,244468.26,1,1,1,46121.24,1
171,67693118,Jackson,713,India,Male,57,9,136609.9,1,0,0,189987.44,0
172,54898389,Miller,653,Germany,Male,32,8,104005.23,4,1,0,94639.14,0
173,18963492,Hill,818,Spain,Male,55,5,61204.31,2,1,1,12927.9,0
174,85311316,Maclean,423,America,Male,36,9,199899.38,1,1,1,37578.01,0
175,19316455,Lombardo,618,Germany,Male,65,1,157532.41,3,0,1,169698.75,1
176,81451973,Lavine,590,Germany,Male,62,3,172952.21,2,0,0,185565.55,1
177,30134743,Osborne,452,China,Male,74,4,171988.75,2,0,1,178215.05,1
178,35291337,Clarke,313,India,Male,20,5,26680.42,2,1,1,153422.77,0
179,54999653,Onio,839,France,Male,77,6,238538.05,3,0,1,156366.63,0
180,98935479,Muldrow,376,China,Female,29,9,1485.99,1,0,1,193646.76,0
181,78512329,Clarke,491,America,Female,57,4,188124.39,4,0,0,180654.34,0
182,43808096,McDonald,502,America,Male,60,7,224967.15,1,0,0,20945.03,1
183,38617620,Maggard,326,India,Female,63,3,248180.92,2,1,1,33515.68,1
184,51425673,Garcia,821,China,Female,88,7,50620.31,2,0,0,154168.11,0
185,74317479,Romeo,847,Germany,Male,37,1,118781.32,1,0,1,228258.25,0
186,80328752,Hargrave,655,India,Male,50,0,104461.73,2,0,1,48445.7,0
187,42055134,Osborne,432,America,Male,77,2,182908.02,1,1,1,65784.9,1
188,42197893,Moore,572,India,Female,40,7,136182.14,3,0,1,123323.78,1
189,94105450,Bartlett,652,Germany,Female,44,1,231515.35,3,0,1,121397.21,0
190,86371184,Davis,607,America,Male,40,0,120724.89,1,0,0,111986.4,0
191,48877182,Bartlett,848,India,Female,81,9,161930.96,4,0,0,197484.6,1
192,64119562,Gonzalez,359,Austrelia,Male,34,7,242950.88,4,1,0,53216.72,0
193,37529478,Mitchell,668,France,Female,86,9,218657.27,2,1,1,72342.21,1
194,90367969,Johnson,787,China,Female,19,4,106538.33,2,1,0,200934.49,1
195,49757877,Lavine,509,India,Female,52,7,69386.72,4,1,1,143029.44,1
196,79327821,Mitchell,367,China,Male,25,1,90418.14,3,1,1,168395.06,0
197,67846914,Nehi,349,Spain,Male,64,9,168198.36,3,1,0,53611.27,0
198,62892900,Watson,509,USA,Female,31,1,234689.91,1,0,0,18447.52,1
199,56452050,He,720,France,Male,31,8,97760.36,2,0,0,141701.53,0
200,60496410,Williams,805,Austrelia,Female,32,5,10770.18,4,0,0,55894.13,0
201,75126156,Anderson,825,Austrelia,Female,32,6,184284.85,3,1,0,122534.11,0
202,79235701,Scott,309,America,Female,34,9,13382.53,2,0,0,29817.69,1
203,19671659,Lombardo,491,India,Female,66,3,46377.15,1,1,0,96154.65,1
204,77467866,Obinna,530,France,Male,69,10,45634.26,3,1,1,245443.28,0
205,73170807,Lucciano,460,China,Female,31,6,240642.09,4,1,1,53679.43,0
206,71344502,Martinez,746,Germany,Female,49,2,244293.11,2,0,0,26195.87,1
207,48878047,Garcia,801,Austrelia,Male,82,0,33008.85,1,1,1,49378.35,0
208,97629028,Boni,670,Spain,Female,78,10,31461.15,1,0,1,209785.33,1
209,84341274,Onio,832,Spain,Female,50,9,56954.99,1,1,0,211037.9,1
210,21285153,Hao,522,China,Male,60,3,227584.62,1,1,0,133879.14,1
211,21107230,Davis,609,France,Female,65,4,89306.1,1,1,1,174680.94,0
212,16673206,Bianchi,591,France,Female,47,10,7785.42,4,1,1,55452.24,1
213,61922691,Hargrave,408,Austrelia,Male,27,1,98825.96,1,1,1,237494.78,1
214,39070932,Bianchi,673,Germany,Female,54,3,172599.68,1,1,1,239329.24,0
215,55016769,Maggard,414,Germany,Male,68,4,6405.49,3,1,1,52864.96,0
216,36864525,Kay,509,France,Female,19,9,158366.19,2,0,0,186932.34,0
217,32013423,Clarke,446,America,Male,33,5,245857.13,2,0,0,19881.18,1
218,68560964,Maggard,413,India,Female,19,3,108880.37,4,1,0,220932.59,0
219,71589011,Lopez,607,America,Male,20,2,125.9,1,1,0,36788.25,1
220,25686407,Azikiwe,725,USA,Female,44,4,139722.7,2,0,1,94783.03,0
221,53225774,Hargrave,832,Germany,Male,18,2,244494.02,4,1,1,65167.5,0
222,86183314,Goforth,844,Spain,Male,87,0,106025.85,2,0,0,54055.03,1
223,36509696,Henderson,725,Austrelia,Female,42,5,106068.41,3,0,1,150218.17,1
224,66733292,Hao,533,France,Male,36,9,82309.39,4,0,1,23551.58,1
225,47498406,Johnson,737,China,Female,42,3,152724.98,3,1,1,241992.32,0
226,42960037,Brown,684,USA,Male,63,3,175657.46,1,1,1,82499.07,1
227,65893586,Azikiwe,594,India,Female,38,3,237084.84,4,1,0,11808.15,1
228,97014251,Chin,386,China,Female,57,3,41378.85,4,1,0,204051.24,1
229,29918478,Hill,397,France,Male,71,8,138261.72,2,0,1,39599.03,1
230,58900804,Hargrave,325,Austrelia,Male,62,8,246775.42,2,1,1,122008.62,1
231,94795825,Muldrow,671,France,Male,27,8,27253.42,3,0,1,108063.3,1
232,59348658,Tyler,783,China,Male,60,0,187647.16,4,1,0,49493.91,1
233,26171649,Lombardo,574,Spain,Male,55,2,54636.13,3,0,0,216017.88,1
234,45681129,Scott,739,India,Female,61,5,145299.9,2,1,1,430.75,1
235,19155400,Lorenzo,481,Austrelia,Female,20,6,147575.05,1,1,0,94939.15,1
236,89209836,Hernandez,480,China,Male,39,6,192649.34,1,1,0,905.28,1
237,77041288,Williams,578,France,Female,88,10,154841.54,4,0,1,230084.72,1
238,42546883,Tyler,348,India,Female,24,7,222818.68,1,1,0,70354.13,0
239,53340897,Tyler,348,Austrelia,Male,42,5,52980.38,3,0,0,204407.75,1
240,52585493,Dellucci,833,Germany,Female,87,2,173914.41,4,1,0,217090.21,0
241,50835857,Hao,528,France,Female,41,10,43648.29,3,0,1,19281.4,1
242,88771034,Armstrong,764,China,Female,64,6,111628.51,1,1,0,150625.38,0
243,26659785,Hill,721,Germany,Female,82,9,116569.35,4,1,1,2948.9,1
244,52295494,Yen,310,Spain,Male,35,0,80076.65,4,0,0,84891.76,1
245,25939757,Wilson,628,China,Female,35,0,82391.57,2,1,1,232283.69,1
246,82268733,Johnson,484,Spain,Male,66,9,163984.38,2,1,0,207128.12,0
247,75060283,Mitchell,646,Austrelia,Female,27,1,244491.86,3,0,0,249328.67,1
248,44250178,Gonzalez,803,India,Male,60,2,211193.4,3,1,1,25720.69,0
249,90868106,Osborne,426,France,Female,26,1,84931.19,2,0,1,212954,1
250,95804183,Thomas,523,USA,Male,60,4,43938.09,1,0,0,92081.94,1
251,77725597,Smith,797,USA,Male,19,3,88092.43,4,1,1,80755.22,0
252,58328652,Scott,782,China,Female,66,10,62039.9,1,0,1,97077.53,1
253,30930834,Armstrong,612,Germany,Male,86,1,44525,3,0,0,9760.19,0
254,54565143,Azikiwe,552,Austrelia,Male,81,6,15798.21,4,1,0,159367.99,1
255,64310746,Bianchi,592,America,Male,68,0,36272.26,1,0,0,246448.57,0
256,91008445,Tyler,836,Germany,Male,21,4,190434.72,3,0,1,103570.94,1
257,93330397,Nehi,366,USA,Female,53,3,182037.15,3,0,0,109388.19,1
258,45532286,Sanderson,685,China,Female,54,1,101275.2,2,0,0,157903.86,1
259,81272156,Chin,451,USA,Female,26,7,197844.67,2,0,1,82358.97,1
260,44941807,Clarke,339,Spain,Female,32,10,61506.22,1,0,0,38813.08,0
261,43680094,Tyler,333,Austrelia,Male,43,4,176542.31,3,0,0,50819.96,1
262,40158335,Sanderson,772,France,Female,60,10,231629,3,1,0,76662.57,0
263,44496736,Moore,707,Austrelia,Female,47,2,225147.71,3,1,0,33854.69,1
264,56242071,Hsiao,825,China,Female,75,10,144712.04,2,0,1,243070.03,1
265,70041971,Obinna,614,Germany,Female,19,9,169784.86,1,1,1,104357.92,0
266,18059757,Maclean,451,Spain,Female,46,3,45649.07,4,0,0,49412.55,1
267,36129550,Jones,799,France,Male,90,9,183625.96,4,1,0,53268.67,0
268,98214310,Cameron,368,America,Female,44,1,237608.66,2,1,1,100222.91,1
269,86866560,Henderson,573,India,Male,89,5,38635.22,1,0,1,12421.34,0
270,78631322,Mosman,575,Germany,Male,74,7,28065.06,4,0,0,220910.13,1
271,48495771,Martin,827,Austrelia,Female,75,1,18809.09,1,0,0,74559.75,1
272,30847899,Smith,343,France,Male,74,0,17979.96,2,1,1,86434.89,0
273,42802527,Kay,481,Spain,Female,73,7,239993.36,3,1,1,206808.75,0
274,55374348,Chu,373,USA,Male,69,9,161974.15,2,1,0,227700.9,1
275,96643077,Goforth,511,India,Female,24,10,70444.22,1,1,1,102863,1
276,25425644,Bearce,482,Spain,Male,72,2,233173.66,2,1,0,66092.71,1
277,36953179,Gerasimov,668,India,Female,60,3,212518.08,4,0,1,159837.47,0
278,53651709,Mosman,761,America,Female,55,3,84765.6,4,1,0,34851.06,1
279,63005185,Romeo,642,USA,Male,50,8,221566.06,4,0,0,224443.59,1
280,60182794,Jackson,505,Spain,Female,31,3,63575.19,4,0,1,234142.84,1
281,82286806,Gerasimov,847,China,Female,52,1,12051.32,4,1,0,246207.48,1
282,19758919,Kay,752,Austrelia,Male,69,0,22786.93,1,0,1,43843.34,1
283,88925300,Muldrow,600,Spain,Male,76,10,133835.42,2,1,1,187760.8,0
284,41164796,Maggard,730,China,Male,66,6,183642.18,4,0,0,244474.89,0
285,99742313,Bartlett,682,Germany,Male,28,3,18572.54,2,1,0,19602.5,1
286,38971957,Armstrong,390,America,Male,23,6,163499.67,2,0,1,85575.34,1
287,65437835,Tyler,569,America,Male,75,3,135076.91,2,1,0,157102.47,1
288,19823396,Yen,377,Germany,Female,82,2,199145.8,4,0,0,106451.51,0
289,99980004,Miller,698,India,Female,39,10,204117.61,4,0,0,242835.24,0
290,17060006,Boni,691,Austrelia,Male,41,1,17227.7,4,1,1,148225.43,1
291,38033379,Hill,587,Austrelia,Female,62,0,141801.29,3,0,0,106785.88,0
292,25895526,Kay,506,France,Male,68,1,160428.46,4,1,0,220207.31,0
293,90190686,Andrews,750,USA,Male,34,6,183162.64,2,0,0,232847.83,1
294,52742623,Anderson,784,USA,Male,81,1,135139.21,1,0,0,132529.22,0
295,29138520,Sanderson,408,America,Female,58,4,120303.43,1,1,1,222648.78,0
296,20546058,Clements,733,India,Female,43,2,220700.01,3,1,0,29562.48,1
297,19542582,Lombardo,845,France,Male,83,5,118803.64,2,1,0,43216.7,1
298,45542307,Mitchell,601,Spain,Male,59,10,137296.16,2,1,1,128624.97,1
299,50795123,Romeo,319,China,Male,63,0,93823.64,4,0,0,133883.3,1
300,45399510,Smith,526,France,Male,18,8,38300.79,2,1,1,51166.06,1
301,88456297,Anderson,682,America,Male,18,2,171721.48,2,0,0,32408.84,1
302,85475562,McWilliams,407,France,Female,50,7,9427.34,4,1,0,128856.58,0
303,81115576,Azikiwe,376,India,Female,84,5,240625.62,1,0,0,42436.07,1
304,39500419,Dellucci,301,Germany,Female,79,2,248178.48,1,0,0,229590.52,1
305,35177062,Bianchi,394,Germany,Female,57,8,83785.6,4,1,0,12277.2,0
306,47166784,Young,600,Germany,Female,18,1,60260.13,3,1,0,82429.05,0
307,60776034,Brown,324,USA,Female,88,8,10006.28,4,1,0,187310.29,1
308,17582351,Davis,412,India,Female,45,2,122412.01,1,1,1,106229.15,1
309,61326269,Boni,825,Spain,Female,72,0,96892.04,4,0,1,138005.65,0
310,41897989,Thomas,441,Spain,Female,40,1,190.34,2,0,0,78198.77,1
311,58316709,Armstrong,397,France,Female,89,9,226933.29,4,1,1,209260.49,1
312,71437317,McWilliams,414,Spain,Male,42,0,131760.64,1,0,0,233503.09,1
313,28874316,Wilson,433,Spain,Female,63,3,187124.91,3,0,0,11128.41,0
314,71951981,Andrews,421,Spain,Male,69,9,215820.6,1,0,0,85683.14,0
315,87932933,Chin,519,America,Male,59,6,17428.07,3,0,1,197722.39,1
316,81308381,Thomas,445,India,Male,40,1,14787.11,3,0,1,148968.16,0
317,22592607,Garcia,535,France,Female,29,4,208459.52,3,1,0,68250.19,0
318,92790531,Jones,375,China,Male,67,1,178112.42,3,1,0,226081.56,0
319,89726535,Henderson,607,India,Female,78,8,201780.63,3,0,0,185033.6,1
320,63013233,Osborne,567,Germany,Male,78,3,88793.62,2,1,0,129305.03,1
321,59962100,Young,554,America,Female,40,0,174321.38,1,1,1,237673.64,0
322,28471323,Chu,419,Austrelia,Male,48,5,111562.7,4,0,0,231995.94,1
323,86494655,Mitchell,303,America,Male,85,4,173917.85,3,1,1,8800.29,0
324,65455482,Hill,326,Spain,Male,69,10,131078.74,1,1,0,237518.77,1
325,63563778,Azikiwe,354,Germany,Female,38,7,12780.1,3,0,1,61825.85,1
326,50920158,Muldrow,811,China,Male,72,1,186741.87,1,0,0,87072.69,1
327,86070387,Nehi,600,China,Male,70,2,154836.6,4,1,0,104087.43,0
328,32718074,Rodriguez,368,France,Female,27,9,61332.39,3,0,0,71688.31,0
329,17536056,Yen,368,Germany,Male,58,6,70131.92,1,1,0,108738.33,0
330,97275358,Scott,674,Spain,Male,56,1,188105.22,3,1,1,229591.25,1
331,46627511,Taylor,609,France,Female,23,9,35597.74,4,1,1,12086.28,0
332,48822424,Rodriguez,535,India,Male,64,7,181433.76,1,0,1,65378.54,1
333,90650313,Hill,377,France,Female,18,5,177767.15,3,0,1,194964.42,0
334,83778697,Watson,766,India,Female,83,5,159719.08,1,0,1,105207.77,0
335,24585551,Anderson,468,America,Female,41,8,24595.28,4,1,1,67721.37,0
336,62720816,Gonzalez,730,Spain,Female,77,8,8527.89,2,0,1,34565.66,1
